1.　一	Nhất		Số 1				1 gạch ngang
3.彼		Bỉ			Anh ấy				Đè lên da anh ấy
4.被		Bị			Bị hại				Y phục hở da là bị hại
5.波		Ba			Con sóng			Nước đập vào da tạo ra sóng
6.婆		Bà			Bà già				Người con gái đang lướt sóng là bà già
7.破		Phát		Phá rách			Dùng đá phá rách da
8.披		Phi			Vạch ra				Da tay bị vạch ra

1.己		Kỉ			Bản thân			Giống số 2
2.紀		Kỉ			Thế kỉ				Sợi tơ nối liền 2 thế kỉ
3.記		Kí			Nhật kí				Lời nói của bản thân viết vào nhật kí
4.忌		Kị			Đố kị				Bản thân trong tâm mang đố kị
5.妃		Phi			Phi tần				Người phụ nữ thứ 2 là phi tần
6.起		Khởi		Thức dậy			Thức dậy lúc 2 giờ để chạy tập thể dục
7.改		Cải			Cải cách			Đánh vào bản thân để cải cách
8.配		Phối		Chi phối			Uống rượu xong bản thân sẽ bị chi phối

1.父		Phụ			Bố					Ông bố 8x
2.釜		Phủ			Cái nồi				Ông bố dùng vàng để mua nồi
3.交		Giao		Giao lưu			Lần đâu đi giao lưu với bố vợ
4.校		Hiệu		Trường học			Ông bố đầu đội mũ đứng đợi con bên gốc cây ở trường học
5.効		Hiệu		Hiệu quả			Giao lưu với người có năng lực thì đạt được hiệu quả
6.郊		Giao		Ngoại ô				Đi giao lưu với em bồ ở ngoại ô
7.絞		Giảo		Vắt, thắt			Sợi tơ đang giao với nhau là vắt, thắt
8.較		Giác		So sánh				Mang xe đi giao lưu để so sánh đẳng cấp

1.取		Thủ			Lấy					Tai lại bị lấy mất
2.趣		Thú			Hứng thú			Chạy đi lấy hứng thú
3.最		Tối			Tối cao				Mặt trời là thủ lĩnh tối cao
4.撮		Toát		Chụp ảnh			Tay tối cao dùng để chụp ảnh

1.験		Nghiệm		Thí nghiệm			Thí nghiệm cho ngựa mặc yếm
2.険		Hiểm		Nguy hiểm			Để bồ mặc yếm rất nguy hiểm
3.倹		Kiệm		Tiết kiệm			Người mặc yếm thì tiết kiệm vải
4.検		Kiểm		Kiểm tra			Mặc yếm đi kiểm tra cây
5.剣		Kiếm		Kiếm đạo			Mặc yếm cầm đao múa kiếm

1.会		Hội			Gặp gỡ				Người suốt 24h đi chơi hội hè
2.絵		Hội			Bức tranh			Sợi tơ nhảy múa trong lễ hội đẹp như bức tranh
3.転		Chuyển		Chuyển động			Xe chuyển động 24h
4.伝		Truyền		Tuyên truyền		Người suốt 24h đi tuyên truyền
5.芸		Nghệ, vân	Nghệ thuật			Cô thảo 24h làm nghệ thuật
6.雲		Vân			Mây					Mưa suốt 24h thì hết mây
7.曇		Đàm			Trời mây			Cả ngày có mây là trời mây
8.魂		Hồn			Linh hồn			Linh hồn quỷ tồn tại suốt 24h

1.兄		Huynh		Anh trai			Anh trai mồm nói chân đi
2.況		Huống		Tình huống			Tình huống anh trai xuống nước
3.祝		Chú			Chúc mừng			Mang thị đến chúc mừng anh trai
4.克		Khắc		Khắc phục			Anh trai điểm 10 khắc phục
5.呪		Chúc		Thần chúc			Anh trai mở mồm đọc thần chúc
6.党		Đảng		Đảng phái			Anh trai trong đêm tỏa sáng là vào đảng
7.競		Cạnh		Cạnh tranh			Đứng cạnh anh trai là cạnh tranh

1.税		Thuế		Tô thuế				Hòa xem tivi nhiều phải đóng thuế
2.鋭		Nhuệ		Tinh nhuệ			Chiếc tivi làm bằng vàng dành cho quân tinh nhuệ
3.脱		Thoát		Cởi bỏ				Nguyệt lấy trộm tivi và trốn thoát
4.説		Thuyết		Diễn thuyết			Nói trước tivi là diễn thuyết
5.悦		Duyệt		Mãn nguyện			Mua được tivi nên trái tim mãn nguyện
6.閲		Duyệt		Kiểm duyệt			Tivi qua cổng cần phải kiểm duyệt

1.場		Trường		Công trường			Vật vã 1 ngày trên mảnh đất ở công trường
2.傷		Thương		Vết thương			Vật vã 1 ngày lúc đứng lúc nằm là bị thương
3.腸		Tràng		Đại tràng			Nguyệt vật vã suốt 1 ngày với bệnh đại tràng
4.湯		Thang		Nước nóng			Vật vã 1 ngày không có nước nóng
5.陽		Dương		Mặt trời			Bố vật vã làm việc 1 ngày dưới ánh nắng mặt trời
6.揚		Dương		Tuyên dương			Tay làm việc vật vã 1 ngày nên được tuyên dương
7.瘍		Dương		Lở loét				Vật vã 1 ngày do bệnh lở loét

1.酔		Túy			Say					Rượu để 90 năm rất dễ say
2.粋		Túy			Tinh túy			Gạo để 90 năm rất tinh túy
3.砕		Toái		Phá vỡ				Đá để 90 năm khó phá vỡ
4.枠		Khung		Cái khung			Cây 90 năm làm khung

1.京		Kinh		Kinh đô				Đầu mồm nhỏ là người ở kinh đô
2.鯨		Kình		Cá voi				Cá ở kinh đô là cá voi
3.涼		Lương		Mát mẻ				Nước ở kinh đô thì mát mẻ
4.景		Cảnh		Cảnh sắc			Kinh đô Nhật bản có cảnh sắc rất đẹp
5.憬		Cảnh		Cảnh tỉnh			Nhìn thấy cảnh sắc đẹp thì trái tim cảnh tỉnh
6.影		Ảnh			Hình ảnh			Cảnh của tóc bay bay chỉ là ảo ảnh















